群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,カインズ吉井①,風除室,高崎市吉井町池170,長机1台分程,屋内（風除室含む）,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ吉井②,駐車場,高崎市吉井町池170,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ沼田モール,サービスカウンター脇,沼田市久屋原町字吉野4791,1.2m×2.5m,屋内（風除室含む）,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ渋川有馬①,風除室,渋川市有馬字中井287,長机1～2台分程,屋内（風除室含む）,場所取る,"23,000","25,000",要確認,無,無,有,
,カインズ渋川有馬②,店頭(屋外),渋川市有馬字中井287,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ沼田,駐車場,沼田市桜町1972-1,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ大泉,店頭(屋外)右側,邑楽郡大泉町大字坂田1616-7,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ伊勢崎,駐車場右側,伊勢崎市宮子町3200番地,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ前橋川曲,店頭,前橋市川曲町513-1,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ前橋小島田①,風除室,前橋市小島田町136,長机1～2台分程,屋内（風除室含む）,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ前橋小島田②,駐車場左側,前橋市小島田町136,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズスーパーセンター月夜野①,店内(ベイシア側),利根郡みなかみ町下牧482,長机1～2台分程,屋内（風除室含む）,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズスーパーセンター月夜野②,店頭(屋外)左側,利根郡みなかみ町下牧482,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ太田丸山①,店内左側,太田市丸山町1380,2m×1.5ｍ,屋内（風除室含む）,場所取る,"23,000","25,000",要確認,要確認,要確認,要確認,
