新潟,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオン,イオン六日町,南魚沼市余川3100,5坪,屋内（風除室含む）,グラスト,"20,000","25,000",要確認,,,,auのみ実施可能,,,,,,,
,イオンスタイル,イオンスタイル中条,胎内市東本町2641,長机4~5台分程,屋外,グラスト,"15,000","20,000",要確認,,,,,,,,,,,
,ラブラ2,ラブラ2,新潟市中央区万代1-4-8,長机2台分,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,,,,,,,,
,TSUTAYA,蔦屋書店ベルパルレ寺尾①　店内,新潟市西区寺尾東2-9-43,長机1～2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店ベルパルレ寺尾②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店ベルパルレ寺尾③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"27,500","27,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新潟万代①　店内,新潟市中央区幸西3-1-6,長机1～2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新潟万代②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","38,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新潟万代③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"34,500","34,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新津①　店内,新潟市秋葉区程島1865-1,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新津②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新津③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新通①　店内,新潟市西区新通1272,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新通②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店新通③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店横越バイパス①　店内,新潟市江南区横越上町5-1-6,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店横越バイパス②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店横越バイパス③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,古本市場トップブックス新津,新潟市秋葉区程島1865-1,5m×3m～,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店佐渡佐和田①　店内,佐渡市市野沢82,長机1～2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店佐渡佐和田②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","38,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店佐渡佐和田③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"34,500","34,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡古正寺①　店内,長岡市古正寺町350,長机1～2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡古正寺②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","38,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡古正寺③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"34,500","34,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店アクロスプラザ美沢①　店内,長岡市沖田1-6,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店アクロスプラザ美沢②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店アクロスプラザ美沢③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡新保①　店内,長岡市新保6丁目222番地,長机1～2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡新保②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"38,000","38,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡新保③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"34,500","34,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡花園①　店内,長岡市花園南1丁目36番地,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡花園②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長岡花園③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店県央①　店内,燕市井土巻2-225,長机1～2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店県央②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店県央③　軒下,,長机1～2台程,屋内（風除室含む）,グラスト,"27,500","27,500",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店小出①　店内,魚沼市井口新田708,長机1～2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店小出②　風除室,,長机1～2台程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,備品貸出不可,,,,,,,
