長野,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,コメリ,コメリパワー東部,東御市祢津字砂田１１９０－１,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
,コメリ,コメリパワー中野,中野市一本木宮前２２１,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
,コメリ,コメリハード&グリーン箕輪,上伊那郡箕輪町大字中箕輪８０１９,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
,いちやまマート,いちやまマート岡谷,岡谷市長地権現町3-950-1,長机1～2台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,いちやまマート,いちやまマート諏訪,諏訪市中洲3588-1,長机1～2台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,BOOKOFF PLUS,BOOKOFFPLUS伊那,伊那市西春近2893,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF松本筑摩,松本市筑摩3-2-12,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF塩尻,塩尻市広丘高出1550-4,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF須坂,須坂市高梨町2493-5,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF更埴,千曲市大字桜堂水引282-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF川中島,長野市川中島町御厨856-3,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF上田原,上田市上田原722-8,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF岡谷若宮,岡谷市若宮1-8134-2,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF佐久中込,佐久市中込2971-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF長野高田,長野市高田1174,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF PLUS,BOOKOFFPLUS松本芳川,松本市小屋南1-11-40,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF中野七瀬,中野市七瀬98-3,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF長野若槻,長野市稲田1-18-4,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF PLUS,BOOKOFFPLUS小諸西原,小諸市丙394-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF PLUS,BOOKOFFPLUS飯田,飯田市鼎名古熊2073-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF上田中央,上田市中央5-16-16,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF茅野塚原,茅野市塚原2-16-10,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF長野駅前,長野市南石堂1418,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF駒ヶ根宮の前,駒ケ根市赤穂11233-3,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,BOOKOFF SUPER BAZAAR,BOOKOFFSUPERBAZAAR松本駅前,松本市深志1-2-30  アルピコプラザ5F,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,
,西友,西友茅野横内,茅野市ちの2622-1,長机2台程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,,,,,,,,
,綿半,綿半スーパーセンター長池,長野市南長池487,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター川中島,長野市金井田177,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター稲里,長野市稲里町下氷鉋834-34,長机2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター須坂,須坂市大字高梨245番地,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター千曲,千曲市内川770,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター中野,中野市大字三ツ和87,長机2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド檀田,長野市檀田2-50-28,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド若里,長野市若里1-19-19,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター豊科,安曇野市豊科500-1,長机2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター松本芳川,松本市野溝西3-7-1,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター塩尻,塩尻市広丘野村1503-4,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド穂高,安曇野市穂高有明10360-1,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド庄内,松本市出川1-1-1,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター諏訪,諏訪市上川3-2391,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド諏訪インター,諏訪市大字四賀2176,長机2～3台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイド富士見,諏訪郡富士見町3290,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター箕輪,上伊那郡箕輪町三日町960-1,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半スーパーセンター伊那,伊那市西町5245-1,長机2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,綿半,綿半ホームエイドアップルロード,飯田市鼎名古熊2087,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,
,アルピコプラザ,アルピコプラザ,松本市深志1-2-30,3.7坪,屋内（風除室含む）,グラスト,"50,000","70,000",要確認,,,,,,,,,,,
,ルネサンス,スポーツクラブルネサンス松本,松本市渚１－７－１ なぎさライフサイト内,長机1~2台分程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,月曜日定休日,,,,,,,
,あかのれん,あかのれん塩尻,塩尻市桟敷字原301,長机1～2台分程,屋内（風除室含む）,グラスト,"32,000","32,000",要確認,,,,,,,,,,,
,フォレストモール,フォレストモール岡谷,岡谷市神明町３丁目１−３,長机1～2台分程,屋内（風除室含む）,グラスト,"35,000","50,000",要確認,,,,,,,,,,,
,エルサあづみ野,エルサあづみ野,安曇野市三郷温2716-1,長机2台分程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,電源有り・備品貸出可能,,,,,,,
,アクロスプラザ,アクロスプラザ丸子ベルプラザショッピングセンター,上田市中丸子1647番地7他,,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,スワンガーデン,スワンガーデン安曇野,安曇野市豊科南穂高1115,,屋外,グラスト,"32,000","38,000",要確認,,,,,,,,,,,
,TSUTAYA,TSUTAYA北松本,松本市渚1-7-1,長机1~2台程,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,,,,,,,,
,TSUTAYA,TSUTAYA伊那,伊那市日影450,長机1~2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,TSUTAYA,TSUTAYA東松本,松本市元町1-2-1,長机1~2台程,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,,,,,,,,
,TSUTAYA,TSUTAYA駒ヶ根,駒ヶ根市赤穂971-1,長机1~2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
