東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,Ario,アリオ北砂⑨　1Fグリーンエスカレーター前コンコース,江東区北砂2-17-1,4坪程度,屋内（風除室含む）,場所とる,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑩　1Fママイクコ前コンコース,江東区北砂2-17-1,4.0m×2.4m程度程度,屋内（風除室含む）,場所とる,"50,000","100,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑪　1F遊歩道側口グリーンエレベーター前,江東区北砂2-17-1,18㎡程度,屋内（風除室含む）,場所とる,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑪　1Fアカチャンホンポ前特設会場,江東区北砂2-17-1,7.5㎡程度,屋内（風除室含む）,場所とる,"50,000","100,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑫　3Fハニーズ前ブリッジ,江東区北砂2-17-1,13㎡程度,屋内（風除室含む）,場所とる,"50,000","100,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ西新井①　1Fイベント広場,足立区西新井栄町1丁目20番1号,約38坪,屋内（風除室含む）,グラスト,"240,000","480,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井②　1Fインフォメーション横,足立区西新井栄町1丁目20番1号,2坪,屋内（風除室含む）,グラスト,"120,000","240,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井③　1Fモールコンコース　オペークドットクリップ前,足立区西新井栄町1丁目20番1号,2.6坪程度,屋内（風除室含む）,場所とる,"108,000","208,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井④　2F吹抜けスペース,足立区西新井栄町1丁目20番1号,4坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑤　2Fブリッジスペース,足立区西新井栄町1丁目20番1号,3坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑥　3F吹抜けスペース,足立区西新井栄町1丁目20番1号,4坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑦　3Fブリッジスペース,足立区西新井栄町1丁目20番1号,3坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑧　1Fモールコンコース　T字前,足立区西新井栄町1丁目20番1号,3.4坪程度,屋内（風除室含む）,場所とる,"108,000","208,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑨　1Fモールコンコース　カルディコーヒーファーム前,足立区西新井栄町1丁目20番1号,11.25㎡程度,屋内（風除室含む）,場所とる,"108,000","208,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ西新井⑩　1Fモールコンコース　グローバルワーク前,足立区西新井栄町1丁目20番1号,3.4坪程度,屋内（風除室含む）,場所とる,"108,000","208,000",要確認,,,,ドコモNG,,,,,,,,
,Ario,アリオ葛西①　1F吹抜けGU前スペース,江戸川区東葛西9-3-3,20坪,屋内（風除室含む）,グラスト,"600,000","1,200,000",要確認,,,,,,,,,,,,
,Ario,アリオ葛西②　1F東側入口駐輪スペース(屋外軒下),江戸川区東葛西9-3-3,20坪,屋外,グラスト,"300,000","600,000",要確認,,,,,,,,,,,,
,Ario,アリオ葛西③　2Fモール側ゼビオ前イベントスペース,江戸川区東葛西9-3-3,2坪,屋内（風除室含む）,グラスト,"96,000","180,000",要確認,,,,,,,,,,,,
,Ario,アリオ葛西④　3Fモール側とうきゅうボウル前イベントスペース,江戸川区東葛西9-3-3,2坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,,,,,,,,,
,Aコープ東日本,Aコープ藤の台①　屋外軒下,町田市藤の台一丁目1番54号1-54号棟,長机1～2台程,屋外,グラスト,"10,000","10,000",要確認,,,,,,,,,,,,
,Aコープ東日本,Aコープ藤の台②　店内or風除室,町田市藤の台一丁目1番54号1-54号棟,長机1～2台程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,,
