東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,ユニディ,ユニディ若葉台①　2F催事場,稲城市若葉台2-6,6.2㎡程度,屋内（風除室含む）,場所とる,"25,000","30,000",要確認,,,,商材により賃料変更,,,,,,,,
,ユニディ,ユニディ若葉台②　3F駐車場スペース,稲城市若葉台2-6,37.5㎡程度,屋外,場所とる,"15,000","17,000",要確認,,,,商材により賃料変更,,,,,,,,
,ユニディ,ユニディ狛江①　2Fエスカレーター前,狛江市和泉本町4-6-3,5.4㎡程度,屋内（風除室含む）,場所とる,"25,000","30,000",要確認,,,,商材により賃料変更,,,,,,,,
,ユニディ,ユニディ狛江②　1F催事場,狛江市和泉本町4-6-3,6㎡程度,屋内（風除室含む）,場所とる,"18,000","20,000",要確認,,,,商材により賃料変更,,,,,,,,
,ユニディ,ユニディ狛江③　駐車場スペース,狛江市和泉本町4-6-3,23㎡程度,屋外,場所とる,"15,000","17,000",要確認,,,,商材により賃料変更,,,,,,,,
,ヨークフーズ,ヨークフーズ梅島,足立区梅島2丁目31−26,長机1台～,,グラスト,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ阿佐谷,杉並区阿佐谷北2-13-2,長机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ王子,北区王子1-23-5,90cm×90cm,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ千住,足立区千住3-2-2,長机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ三ノ輪,荒川区南千住1-9-1,3坪程度坪程度,屋外,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークマート,ヨークマート下板橋,板橋区板橋2丁目1-1,長机2台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークマート,ヨークマート青戸,葛飾区青戸2丁目20-6,長机1台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】
,ヨークマート,ヨークマート中町,世田谷区中町5丁目30-1,長机1.5台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークマート,ヨークマート東砂,江東区東砂1-3-36,長机2台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ石神井,練馬区下石神井1-2-8,長机2台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ練馬平和台,練馬区早宮2丁目2-28,長机1～2台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ練馬高野台,練馬区高野台1丁目7-27 エミオ練馬高野台1F,約4㎡程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ東小金井①　1Fエントランススペース,小金井市梶野町5-10-1,2.7坪程度坪程度,屋内（風除室含む）,場所とる,"40,000","40,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ東小金井②　1F店頭中央スペース,小金井市梶野町5-10-1,30㎡程度,屋外,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ東小金井③　1F店頭入口付近,小金井市梶野町5-10-1,約6㎡程度,屋外,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ東小金井④　1F店頭線路側スペース,小金井市梶野町5-10-1,28.25㎡程度,屋外,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークフーズ,ヨークフーズ東小金井⑤　1F店頭駅側スペース,小金井市梶野町5-10-1,35㎡程度,屋外,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークプライス,ヨークプライス西新井①　青果側入口,足立区興野1丁目12-7,長机1台程度台程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ヨークプライス,ヨークプライス西新井②　2F共有スペース,足立区興野1丁目12-7,19㎡程度,,場所とる,"30,000","30,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,,
,ららぽーと,ららぽーと豊洲①　1階センターエントランス,江東区豊洲2-4-9,11m×6.5m,屋内（風除室含む）,グラスト,"285,000","560,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲②　1階ノースポートイベントスペース,江東区豊洲2-4-9,8.8m×5.3m,屋内（風除室含む）,グラスト,"275,000","550,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲③　1階メインステージ,江東区豊洲2-4-9,10m×5m,屋内（風除室含む）,グラスト,"275,000","550,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲④　1階サウスポートD,江東区豊洲2-4-9,約26.6㎡,屋内（風除室含む）,場所とる,"208,000","408,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑤　1階サウスポートAorB,江東区豊洲2-4-9,約17.5～24㎡,屋内（風除室含む）,場所とる,"158,000","258,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑥　センターポート3号機ESC下,江東区豊洲2-4-9,約17.2㎡,屋内（風除室含む）,グラスト,"165,000","275,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑦　サウスポート2階P1EV前orサウスポート3階P1EV前,江東区豊洲2-4-9,約11.2～16.0㎡,屋内（風除室含む）,場所とる,"158,000","275,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑧　1階サウスポートE,江東区豊洲2-4-9,約15.0㎡,屋内（風除室含む）,グラスト,"55,000","110,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑨　ノースポート1階2号機ESC横,江東区豊洲2-4-9,約12.6㎡,屋内（風除室含む）,グラスト,"165,000","275,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑩　センターポート P2EV前,江東区豊洲2-4-9,約6.6㎡,屋内（風除室含む）,グラスト,"165,000","275,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑪　総合案内所横イベントスペース,江東区豊洲2-4-9,"約6.8㎡""",屋内（風除室含む）,グラスト,"165,000","275,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑫　ノースポート2階2号機ESC横,江東区豊洲2-4-9,約3.7㎡,屋内（風除室含む）,グラスト,"110,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと豊洲⑬　1階サウスポートC,江東区豊洲2-4-9,約3.4㎡,屋内（風除室含む）,グラスト,"110,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛①　2階 イベント広場・ステージ,立川市泉町935-1,約75.0㎡(W10.0m×D7.5m),屋内（風除室含む）,グラスト,"330,000","550,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛②　1階 イベントスペース,立川市泉町935-1,約164.0㎡,屋内（風除室含む）,グラスト,"110,000","330,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛③　3階 中央エスカレーター前,立川市泉町935-1,約24.0㎡(W4.0m×D6.0m),屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛④　3階 エスカレーター前(モノレール側北),立川市泉町935-1,約22.5㎡(W4.5m×D5.0m),屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑤　1階 吹き抜けスペース(立体駐車場側中央),立川市泉町935-1,"""	約12.25㎡(W3.5m×D3.5m)""",屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑥　2階 吹き抜けスペース(立体駐車場側南or北),立川市泉町935-1,約11.0㎡(W5.5m×D2.0m),屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑦　2階 吹き抜けスペース(モノレール側北),立川市泉町935-1,約11.0㎡(W5.5m×D2.0m),屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑧　1階 テラリウム前 北側,立川市泉町935-1,約11.0㎡(W5.5m×D2.0m),屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑨　1階 食料品エリア前,立川市泉町935-1,"""	約11㎡(W5.5m×D2.0m)""",屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑩　1階 イベントスペース前,立川市泉町935-1,"""	約11.0㎡(W5.5m×D2.0m)""",屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,ららぽーと立川立飛⑪　1階 テラリウム前 南側,立川市泉町935-1,"""	約10.0㎡(W5.0m×D2.0m)""",屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららぽーと,"ららぽーと立川立飛⑫　""	1階 公園広場入口前""",立川市泉町935-1,"""	約10.0㎡(W2.5m×D4.0m)""",屋内（風除室含む）,グラスト,"88,000","220,000",要確認,,,,,,,,,,,,
,ららテラス,ららテラス　HARUMI　FLAG,中央区晴海5-2-31,要確認,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,ららテラス,ららテラス　北綾瀬,足立区谷中4-8-1,9㎡程度,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,ルネサンス,スポーツクラブルネサンス光が丘,練馬区高松５－８ Ｊ．ＣＩＴＹビル１Ｆ,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス三軒茶屋,世田谷区三軒茶屋２－２－１６,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス仙川,調布市仙川町２－１９－６,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス石神井公園,練馬区石神井町２－１４－１４,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス東伏見,西東京市東伏見３－４－１ 東伏見STEP２２,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス富士見台,練馬区貫井３－１２－３３,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス東久留米,東久留米市本町３－３,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日・現在はコロナの影響で催事不可,,,,,,,,
,ルネサンス,スポーツクラブルネサンスひばりヶ丘,西東京市ひばりが丘北２－８－２３,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス両国,墨田区両国２－１０－１４,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス早稲田,豊島区高田１－１９－２４,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブ＆スパルネサンス経堂,世田谷区宮坂３－１－４５,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブ＆スパルネサンス国立,国立市東１－７－１,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス西国分寺,国分寺市泉町２－９－２,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブ&スパルネサンス曳舟,墨田区京島１－４６－２,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,月曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス北砂,江東区北砂２－１６－１,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,木曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス青砥,葛飾区青戸6-2-1,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,火曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス北千住,足立区千住旭町５－２,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,火曜日・年末年始定休日,,,,,,,,
,ルネサンス,スポーツクラブルネサンス赤羽,北区赤羽西1-6-1 ﾊﾟﾙﾛｰﾄﾞⅡ･4F,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,スポーツクラブ＆スパルネサンス亀戸,江東区亀戸2-1-1 2~4F,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,金曜日定休日,,,,,,,,
,ルネサンス,ルネサンス多摩川,大田区矢口3-28-7,2m×3.6m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス新宿24,新宿区歌舞伎町2-44-1,1.6m×2.4m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス武蔵小金井24①　2Fスタジオ前,小金井市本町5丁目38-36,要確認,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス武蔵小金井24②　2Fフロント付近催事場スペース,小金井市本町5丁目38-36,1.5m×2.0m程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,OASIS　RAFEEL青山,港区北青山2-8-44 青山TEPIAビルB1,80cm×3m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス聖路加ガーデン,中央区明石町8,3m×5m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス金町駅前24,葛飾区金町6-9-5,1.5×2m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス南大沢24,八王子市南大沢5-4,1.5m×3m,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス十条24,北区上十条2-13-1,3m×5m,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス本駒込24,文京区本駒込2-28-12,長机1~2台分程,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス雪谷24,大田区北嶺町43番18号,2m×3m程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,OASIS　RAFEEL恵比寿24Plus,渋谷区恵比寿1-8-12,1.5m×2.5m㎡程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス赤塚24①　フロント前,板橋区赤塚新町2-6-2,1m×3m程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ルネサンス,ルネサンス赤塚24②　ラウンジエリア,板橋区赤塚新町2-6-2,要確認,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ロイヤルホームセンター,ロイヤルホームセンター足立鹿浜,足立区堀之内1丁目13−13,長机1～2台分程,屋内（風除室含む）,グラスト,"25,000","40,000",要確認,,,,,,,,,,,,
,ロイヤルホームセンター,ロイヤルホームセンター南千住,荒川区南千住4丁目1−4,長机1～2台分程,屋内（風除室含む）,グラスト,"25,000","40,000",要確認,,,,,,,,,,,,
,ロピア,ロピア八王子みなみ野,八王子市大船町1009,長机1～2台程,屋内（風除室含む）,グラスト,"42,000","42,000",要確認,,,,都度確認,,,,,,,,
,ロピア,ロピア小平,小平市上水本町4-22-1,長机1台程,屋内（風除室含む）,場所とる,"33,000","33,000",要確認,,,,土日祝は開催不可,,,,,,,,
,ロピア,ロピア平井島忠ホームズ,江戸川区平井6-1-38,長机1台程,屋内（風除室含む）,場所とる,"33,000","33,000",要確認,,,,,,,,,,,,
,綿半,綿半スーパーセンター東村山,東村山市恩多町 2-28,長机1～2台程,屋内（風除室含む）,グラスト,"46,000","52,000",要確認,,,,条件付き契約行為可,,,,,,,,
,綿半,綿半ホームエイド国分寺,国分寺市日吉町3-3-9,長机1～2台程,屋内（風除室含む）,グラスト,"56,000","62,000",要確認,,,,条件付き契約行為可,,,,,,,,
,ワンディショップふじ,新小岩第１,葛飾区新小岩1-42-8,12坪,屋内（風除室含む）,グラスト,"43,000","43,000",要確認,,,,,,,,,,,,
,ワンディショップふじ,小岩北口,江戸川区西小岩 1-24-1,約10坪,屋内（風除室含む）,グラスト,"44,200","44,200",要確認,,,,,,,,,,,,
,ワンデイショップふじ,ワンデイショップふじ小岩北口,江戸川区西小岩1-24-1,約10坪,屋内（風除室含む）,グラスト,"32,000","32,000",要確認,,,,,,,,,,,,
,羽田イノベーションシティ,羽田イノベーションシティ①　ルーフスクエア(屋根付き),大田区羽田空港１丁目１−４,約254㎡,屋外,グラスト,"960,000","1,440,000",要確認,,,,,,,,,,,,
,羽田イノベーションシティ,羽田イノベーションシティ②　プラザ(半屋外),大田区羽田空港１丁目１−４,464㎡,屋外,グラスト,"1,800,000","2,700,000",要確認,,,,,,,,,,,,
,㈱ティ・ジョイ,新宿バルト9,新宿区新宿3-1-26 新宿三丁目イーストビル9Ｆ,,屋内（風除室含む）,グラスト,"50,000","90,000",要確認,,,,都度確認,,,,,,,,
,㈱ティ・ジョイ,T・ジョイSEIBU大泉,練馬区東大泉2-34-1 オズスタジオシティ4F,3m×2m～6m×3m,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,,
,久美堂本店,久美堂本店①　,町田市原町田６−１１−１０,2.2㎡,屋内（風除室含む）,グラスト,"28,900","33,100",要確認,,,,,,,,,,,,
,久美堂本店,久美堂本店①　,町田市原町田６−１１−１０,1.5㎡,屋内（風除室含む）,グラスト,"28,900","33,100",要確認,,,,,,,,,,,,
,久美堂本店,久美堂本店①　,町田市原町田６−１１−１０,4.5㎡,屋外,グラスト,"41,500","46,750",要確認,,,,,,,,,,,,
,京王多摩センターショッピングセンター,京王多摩センターショッピングセンター,多摩市落合1-10-1,2坪,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,,
,京王八王子ショッピングセンター,京王八王子ショッピングセンター①　,八王子市明神町3-27-1,長机3台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,京王八王子ショッピングセンター,京王八王子ショッピングセンター②　ピロティB面,八王子市明神町3-27-1,長机3台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,京王八王子ショッピングセンター,京王八王子ショッピングセンター③　209区画,八王子市明神町3-27-1,33.95坪,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,京王高幡ショッピングセンター,京王高幡ショッピングセンター①　3階ジュピター前,日野市高幡116-10,2.7m×1.8m程度,屋内（風除室含む）,場所とる,"38,000","48,000",要確認,,,,,,,,,,,,
,京王高幡ショッピングセンター,京王高幡ショッピングセンター②　3階ドトール前,日野市高幡116-10,6m×3m程度,屋内（風除室含む）,場所とる,"28,000","33,000",要確認,,,,,,,,,,,,
,京王クラウン街笹塚,京王クラウン街笹塚,渋谷区笹塚1-56-18,9.9坪程度,屋外,場所とる,"68,000","68,000",要確認,,,,,,,,,,,,
,驚安堂,驚安堂福生,福生市加美平3-17-3,5㎡,屋外,グラスト,"23,000","23,000",要確認,,,,,,,,,,,,
,驚安堂,驚安堂あきる野①　屋内スペース,あきる野市小川東3-9-11,7㎡,屋内（風除室含む）,グラスト,"28,000","28,000",要確認,,,,,,,,,,,,
,驚安堂,驚安堂あきる野②　屋外店頭スペース,あきる野市小川東3-9-11,3㎡,屋外,グラスト,"18,000","18,000",要確認,,,,,,,,,,,,
,恵比寿ガーデンプレイス,恵比寿ガーデンプレイス①　時計広場,渋谷区恵比寿4丁目20番,約300㎡,屋内（風除室含む）,グラスト,"1,210,000","1,210,000",要確認,,,,都度確認,,,,,,,,
,恵比寿ガーデンプレイス,恵比寿ガーデンプレイス②　センター広場,渋谷区恵比寿4丁目20番,約325㎡,屋内（風除室含む）,グラスト,"1,800,000","1,800,000",要確認,,,,都度確認,,,,,,,,
,経堂テラスガーデン,経堂テラスガーデン①　三角広場,世田谷区宮坂3-1-42,約50坪,屋内（風除室含む）,グラスト,"120,000","180,000",要確認,,,,,,,,,,,,
,経堂テラスガーデン,経堂テラスガーデン②　スポーツクラブビル前,世田谷区宮坂3-1-42,約21.2坪,屋内（風除室含む）,グラスト,"120,000","180,000",要確認,,,,,,,,,,,,
,山下書店,山下書店世田谷,世田谷区若林4丁目20-8,長机1台分程,屋外,グラスト,"25,750","25,750",要確認,,,,,,,,,,,,
,若葉ケヤキモール,若葉ケヤキモール,立川市若葉町1-7-1,約14坪,屋外,場所とる,"55,000","55,000",要確認,,,,,,,,,,,,
,秋葉原UDX,秋葉原UDX①　サボニウス広場,千代田区外神田4-14-1,約165㎡,屋内（風除室含む）,グラスト,"370,000","370,000",実施不可,,,,,,,,,,,,
,秋葉原UDX,秋葉原UDX②　UDXアキバ広場,千代田区外神田4-14-1,約450㎡,屋内（風除室含む）,グラスト,"360,000","360,000",実施不可,,,,,,,,,,,,
,新宿アイランドタワー,新宿アイランドタワー,新宿区西新宿６丁目５−１,長机1～2台分程,屋内（風除室含む）,グラスト,"90,000","90,000",要確認,,,,"電気代5,000円/日",,,,,,,,
,成城コルティ,成城コルティ①　2FプラザA区画,世田谷区成城6-5-34,88㎡,屋内（風除室含む）,グラスト,"270,000","330,000",要確認,,,,,,,,,,,,
,成城コルティ,成城コルティ②　1FOdakyu OXエントランス横,世田谷区成城6-5-34,約2坪,屋内（風除室含む）,グラスト,"120,000","180,000",要確認,,,,,,,,,,,,
,西友,西友清瀬,清瀬市元町1-4-5,長机1台分程,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友吉祥寺,武蔵野市吉祥寺本町1-12-10,長机1.5台分,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,西友,西友成増,板橋区成増3-11-3,長机1台分程,屋内（風除室含む）,グラスト,"32,000","32,000",要確認,,,,,,,,,,,,
,西友,西友足立島根,足立区島根３丁目２０−１８,長机1台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友練馬,練馬区練馬１丁目３−１０,長机1台分程,屋内（風除室含む）,グラスト,"32,000","32,000",要確認,,,,買取催事不可,,,,,,,,
,西友,西友巣鴨,豊島区巣鴨２丁目６−１,20㎡程度,屋内（風除室含む）,グラスト,"20,000","30,000",要確認,,,,,,,,,,,,
,西友,西友大井町,品川区東大井５丁目１８−１,長机1台分程,屋内（風除室含む）,グラスト,"42,000","42,000",要確認,,,,,,,,,,,,
,西友,西友豊玉南,練馬区豊玉南２丁目２４−５,長机1台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,リヴィンオズ大泉,練馬区東大泉２丁目１０−１１,長机1台分程,屋内（風除室含む）,グラスト,"32,000","32,000",要確認,,,,,,,,,,,,
,西友,西友関町,練馬区関町南４丁目２０−１９,長机1台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友南葛西,江戸川区南葛西５丁目６−２,長机1台分程,屋内（風除室含む）,場所とる,"20,000","20,000",要確認,,,,,,,,,,,,
,西友,西友阿佐ヶ谷,杉並区阿佐谷北１丁目５−６,長机1台分程,屋外,グラスト,"32,000","32,000",要確認,,,,,,,,,,,,
,西友,西友蓮根坂下,板橋区坂下２丁目２３−１,長机1台分程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友高野台,練馬区高野台１丁目２０−１,長机1台分程,屋外,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友江戸川中央,江戸川区中央１丁目７−１４,長机1台分程,屋外,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友加賀鹿浜,足立区加賀１丁目３,長机1台分程,屋外,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友羽村,羽村市五ノ神1丁目8-14,20㎡程度,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友下高井戸,世田谷区松原3丁目41-5,6㎡程度,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,,
,西友,西友河辺,青梅市河辺町10丁目9-1,6㎡程度,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
