神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イトーヨーカドー,洋光台店,神奈川県横浜市磯子区洋光台3-10-3,北側入口,屋外,場所とる,"10,000","15,000",要確認,,,,,,,,,,,
,イトーヨーカドー,洋光台店,神奈川県横浜市磯子区洋光台3-10-3,階段横催事スペース,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,イトーヨーカドー,洋光台店,神奈川県横浜市磯子区洋光台3-10-3,食品レジアウト催事スペース,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,イトーヨーカドー,洋光台店,神奈川県横浜市磯子区洋光台3-10-3,催事場一画,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,インナーモール（外）,屋外,,,,要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,B棟EVホール前,屋外,,,,要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,オープンモール,屋外,,,,要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,イベントステージ,屋外,,,,要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,インナーモール中央（ダイソー前周辺）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,OSC湘南シティ,OSC湘南シティ,神奈川県平塚市代官町３３－１,インナーモール（ダイソー壁側）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,109シネマズ,109シネマズムービル,横浜市西区南幸2-1-22相鉄ムービル内,要確認,屋内（風除室含む）,場所とる,"53,000","69,000",要確認,,,,,,,,,,,
,109シネマズ,109シネマズ港北,横浜市都筑区茅ケ崎中央5-1港北TOKYUS.C.6F 港北TOKYUS.C.6F,要確認,屋内（風除室含む）,場所とる,"53,000","69,000",要確認,,,,,,,,,,,
,109シネマズ,109シネマズ湘南,藤沢市辻堂神台1-3-1テラスモール湘南 4階,要確認,屋内（風除室含む）,場所とる,"93,000","125,000",要確認,,,,,,,,,,,
,109シネマズ,109シネマズ川崎,川崎市幸区堀川町72-1ラゾーナ川崎プラザ5F,要確認,屋内（風除室含む）,場所とる,"113,000","153,000",要確認,,,,,,,,,,,
,橋本駅,橋本駅,神奈川県相模原市緑区橋本2-3-2,連絡通路,,,,,要確認,,,,,,,,,,,
,コーナン,港南台バーズ店,神奈川県横浜市港南区港南台3-1-3港南台バーズ4f,エレベーター横,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,コーナン,鶴見元宮店,神奈川県横浜市鶴見区元宮二丁目1番37号,正面右側入口横,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,カインズ,城山店,神奈川県相模原市緑区向原 3-9-7,駐車場(正面入口),屋外,場所とる,"23,000","25,000",要確認,,,,,,,,,,,
,カインズ,西友平塚店,神奈川県平塚市東中原1丁目1-25,お問い合わせください,,,,,要確認,,,,,,,,,,,
,Aコープ,伊勢原高森店,神奈川県伊勢原市高森６－２－３,店内（サービスカウンターとレジの間）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,Aコープ,伊勢原高森店,神奈川県伊勢原市高森６－２－３,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,若葉台店,神奈川県横浜市旭区若葉台3-7-1,青果側入口(風除室),屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,イトーヨーカドー,若葉台店,神奈川県横浜市旭区若葉台3-7-1,催事スペース,屋内（風除室含む）,場所とる,"25,000","35,000",要確認,,,,,,,,,,,
,Aコープ,ゆがわら店,神奈川県足柄下郡湯河原町土肥５－７－１,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,Aコープ,城山店,神奈川県相模原市緑区向原２丁目１－１,店内レジアウト,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,Aコープ,城山店,神奈川県相模原市緑区向原２丁目１－１,通路区画,屋外,,,,要確認,,,,,,,,,,,
,ベイシア,三浦店,神奈川県三浦市初声町下宮田5番16,風除室,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,蔦屋書店,青葉奈良店,神奈川県横浜市青葉区奈良3丁目21-1,入口付近(駐車場側),屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,TSUTAYA,横浜みなとみらい店,神奈川県横浜市西区みなとみらい4-7-1ミッドスクウェア 1F,TSUTAYA正面入口脇,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,蔦屋書店,港北ミナモ店,神奈川県横浜市都筑区中川中央2丁目7番1号,お問い合わせください,屋内（風除室含む）,場所とる,"40,000","40,000",要確認,,,,,,,,,,,
,イオン,横浜新吉田店,神奈川県横浜市港北区新吉田東8-49-1,オートスロープ前,屋内（風除室含む）,ダイエースペース,"20,000","25,000",要確認,,,,,,,,,,,
,ラ・フロール,ラ・フロール,神奈川県相模原市緑区西橋本5丁目1-1,中央入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,Aコープ,旭店,神奈川県平塚市万田一丁目１７番１６号,店頭軒下,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ウィング,久里浜,神奈川県横須賀市久里浜4丁目4-10,改札前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ウィング,久里浜,神奈川県横須賀市久里浜4丁目4-10,イベントスペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオン,藤沢店,神奈川県藤沢市大庭5061-2,エスカレーター横ふれあい広場A,屋内（風除室含む）,場所とる,"25,000","30,000",要確認,,,,,,,,,,,
,イオン,藤沢店,神奈川県藤沢市大庭5061-2,エスカレーター横ふれあい広場B,屋内（風除室含む）,場所とる,"25,000","30,000",要確認,,,,,,,,,,,
