茨城,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,SEA MARK SQUARE,SEA MARK SQUARE②　1Fレストスペース(自動販売機側),日立市東滑川町5丁目地内,約20㎡,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE③　テラス,日立市東滑川町5丁目地内,約300㎡,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE④　2Fレストスペース,日立市東滑川町5丁目地内,約20㎡,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE⑤　専門店棟屋上広場,日立市東滑川町5丁目地内,約300㎡,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE⑥　1F広場エスカレーター側,日立市東滑川町5丁目地内,3.5m×4.5m程度,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE⑦　1F広場フードコート側,日立市東滑川町5丁目地内,3.5m×4.5m程度,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE⑧　2F東側通路,日立市東滑川町5丁目地内,3.5m×4.5m程度,屋内（風除室含む）,場所とる,"25,000","45,000",要確認,,,,,,,,,,,
,笠間ショッピングセンターポレポレシティ,笠間ショッピングセンターポレポレシティ①　サービスカウンター横催事場,笠間市赤坂8,25坪,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,,,,,,,,,,,
,笠間ショッピングセンターポレポレシティ,笠間ショッピングセンターポレポレシティ②　セントラルコート(全面),笠間市赤坂8,50坪,屋内（風除室含む）,グラスト,"120,000","120,000",要確認,,,,,,,,,,,
,笠間ショッピングセンターポレポレシティ,笠間ショッピングセンターポレポレシティ③　セントラルコート(半面),笠間市赤坂8,25坪,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,,,,,,,,
,笠間ショッピングセンターポレポレシティ,笠間ショッピングセンターポレポレシティ④　空きテナント区画,笠間市赤坂8,約11坪,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,,,,,,,,,,,
,ピアシティ,ピアシティ石岡①　セイジョー店舗前(電源有り),石岡市石岡２２２２－２,13.22㎡（4坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ピアシティ,ピアシティ石岡②　セイジョー店舗前(電源無し)①,石岡市石岡２２２２－２,13.22㎡（3.99坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ピアシティ,ピアシティ石岡③　セイジョー店舗前(電源無し)②,石岡市石岡２２２２－２,13.22㎡（4坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ピアシティ,ピアシティみらい平①　ウエルシア店舗前,つくばみらい市陽光台1-14-1,13.22㎡（4坪）,屋内（風除室含む）,場所とる,"10,000","110,000",要確認,,,,,,,,,,,
,ピアシティ,ピアシティみらい平②　コイン精米機横,つくばみらい市陽光台1-14-1,16.53㎡（5坪）,屋内（風除室含む）,場所とる,"10,000","110,000",要確認,,,,,,,,,,,
,ヨークタウン,ヨークタウン坂東①　マクドナルド前,坂東市辺田字原新１１０４-１,29.75㎡（8.99坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ヨークタウン,ヨークタウン坂東②　もみの木　下,坂東市辺田字原新１１０４-１,24.79㎡（7.49坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ヨークタウン,ヨークタウン坂東③　TSUTAYA前駐車場①,坂東市辺田字原新１１０４-１,13.22㎡（4坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,ヨークタウン,ヨークタウン坂東④　TSUTAYA前駐車場②,坂東市辺田字原新１１０４-１,13.22㎡（4坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,Bivi,BiViつくば①　2Fイベントスペース,つくば市吾妻１丁目８－１０,49.59㎡（15坪）,屋内（風除室含む）,場所とる,"23,000","40,000",要確認,,,,,,,,,,,
,Bivi,BiViつくば②　2F共用廊下,つくば市吾妻１丁目８－１０,16.53㎡（5坪）,屋内（風除室含む）,場所とる,"23,000","40,000",要確認,,,,,,,,,,,
,Bivi,BiViつくば③　2F半屋外スペース,つくば市吾妻１丁目８－１０,49.59㎡（15坪）,屋内（風除室含む）,場所とる,"23,000","40,000",要確認,,,,,,,,,,,
,マーケットシティ,マーケットシティ古河①　駐車場内①,古河市松並2丁目18-10,14.87㎡（4.5坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,マーケットシティ,マーケットシティ古河②　駐車場内②,古河市松並2丁目18-10,49.59㎡（15坪）,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,,,,,,,,
,パワードラッグ,パワードラッグ滑川,日立市滑川本町5丁目3番35号,長机1台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,パワードラッグ,パワードラッグ森山,日立市森山町5丁目1番1号,長机1台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,パワードラッグ,パワードラッグ那珂,那珂市菅谷字千本杉600-1,長机1台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,Big-A,Big-A取手青柳,取手市青柳1-1-46,長机1～2台程,屋外,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,Big-A,Big-A取手白山,取手市白山5-13-3,長机1～2台程,屋外,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,Big-A,Big-A北守谷,守谷市薬師台1-1-1,長机1～2台程,屋外,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,あみプレミアムアウトレット,あみプレミアムアウトレット,阿見町よしわら4丁目1-1,要確認,屋外,場所とる,"308,000","508,000",要確認,,,,,,,,,,,
,マスダ,マスダ境,猿島郡境町字上町761-12,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,マスダ,マスダ戸頭,取手市戸頭6-30-6,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,マスダ,マスダ取手,取手市東6-10-8,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,マスダ,マスダ三和,古河市諸川1114-3,長机1~2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,マスダ,マスダ茎崎,つくば市高見原1-1-16,長机2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,ヤマウチ,ヤマウチ神立,土浦市神立町字新田682-4,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,ヤマウチ,ヤマウチ牛久,牛久市上柏田町4-22-5,長机2台分程,屋外,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,TAIRAYA,TAIRAYAファインズ淵頭,常総市水海道淵頭町4566-1,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,TAIRAYA,TAIRAYA並木,つくば市並木4-4-2,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,TAIRAYA,TAIRAYA新取手駅前,取手市新取手1-10-1,長机2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,TAIRAYA,TAIRAYA松代,つくば市松代4-19-1,長机1～2台程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,ルネサンス,スポーツクラブルネサンス水戸,水戸市柵町１－９－２,長机1~2台分程,屋内（風除室含む）,グラスト,"35,000","35,000",実施不可,,,,月曜日定休日,,,,,,,
,ルネサンス,スポーツクラブ ルネサンス 竜ヶ崎ニュータウン,龍ケ崎市小柴5-2-2,長机1~2台分程,屋内（風除室含む）,グラスト,"35,000","35,000",実施不可,,,,月曜日定休日,,,,,,,
,ベイシア,ベイシアスーパーセンター潮来,潮来市須賀南321番地,約3坪,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,ウォーターサーバー催事不可,,,,,,,
,BOOKOFF,BOOKOFF日立金沢,日立市金沢町2-3-24,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,BOOKOFF PLUS,BOOKOFFPLUS茨城古河,古河市松並2-16-40,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF下妻市役所前,下妻市本城町2-30,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFF牛久栄,牛久市栄町6-44,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
,BOOKOFF,BOOKOFFつくばテクノパーク桜,つくば市桜1-12-1,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,
