栃木,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,,アシコタウンあしかが,栃木県足利市大月町3-2,,,,,,要確認,,,,,,,,,,,
,,豊郷台ミュゼショッピングセンター,栃木県宇都宮市豊郷台２丁目８７,エスカレーター横,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,フレスポインターパークⅡ,栃木県宇都宮市インターパーク4丁目8-7,,屋外,,,,要確認,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,309区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,310区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,506区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,509区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,308A区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,ロブレ,栃木県小山市中央町３丁目７－１,308B区画,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,おやまゆうえんハーヴェストウォーク,栃木県小山市喜沢1475-34,YB棟1階(ヨークベニマル付近),屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,,おやまゆうえんハーヴェストウォーク,栃木県小山市喜沢1475-35,ハーヴェストプラザ,屋外,,,,実施可能,,,,,,,,,,,
,イオン,イオン今市店①　1F 専門店空床,栃木県日光市豊田79-1,85㎡ / 30坪,屋内（風除室含む）,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン今市店②　1F 「カトレア」跡,栃木県日光市豊田79-1,--㎡ / 20坪,屋内（風除室含む）,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン今市店③　1F 「錦」跡,栃木県日光市豊田79-1,--㎡ / 35坪,屋内（風除室含む）,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオン今市店④　中央エスカレーター脇（催事場側）,栃木県日光市豊田79-1,要確認,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオンみぶ店①　1F 店舗駐車場隣接の土地,栃木県下都賀郡壬生町大字壬生丁字六美219,要確認,屋外,スペースラボ,,,要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオン,イオンみぶ店②　1F 風除室,栃木県下都賀郡壬生町大字壬生丁字六美219,4㎡ / 1坪,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
,イオンモール,イオンモール小山店①　１階南側入口マルシェ通り,栃木県小山市中久喜1467-1,要確認,屋内（風除室含む）,ダイエースペース,"40,000","70,000",要確認,,,,都度申請※決裁の都合上、開催日の1か月前締め切り/回答まで1週間前後,,,,,,,
